Segment>>,Consumer,F3,F4,F5,Consumer Total,Corporate,F8,F9,F10,Corporate Total,Home Office,F13,F14,F15,Home Office Total
CA-2014-128475,,,,,,,,,,,,,,71.98,71.98
CA-2014-128629,,,18.84,,18.84,,,,,,,,,,
CA-2014-128699,,,47.992000000000004,,47.992,,,,,,,,,,
CA-2014-128755,,,,629.86,629.86,,,,,,,,,,
CA-2014-128769,,,,,,,,,81.567999999999998,81.568,,,,,
CA-2014-129021,,,4590.344000000001,,4590.344,,,,,,,,,,
CA-2014-129028,,,,,,127.94999999999999,,,,127.95,,,,,
CA-2014-129462,,,740.59,,740.59,,,,,,,,,,
CA-2014-129490,,,,,,,,,,,,,,419.13599999999997,419.136
CA-2014-129910,,,,,,,,,,,,,,59.76,59.76
CA-2014-130309,,,,544.38,544.38,,,,,,,,,,
CA-2014-130834,,,16.272000000000002,,16.272,,,,,,,,,,
CA-2014-130904,,,,22.744,22.744,,,,,,,,,,
CA-2014-132185,,,,52.344000000000001,52.344,,,,,,,,,,
CA-2014-132213,,,,,,,,,,,109.96799999999999,,,,109.968
CA-2014-133095,,,,,,,,,,,,117.62,,,117.62
CA-2014-133235,271.95999999999998,,,,271.96,,,,,,,,,,
CA-2014-133263,,,,,,,,3098.6099999999997,,3098.61,,,,,
CA-2014-133501,,,,5.1840000000000011,5.184,,,,,,,,,,
CA-2014-133641,,,,48.69,48.69,,,,,,,,,,
CA-2014-133928,,,,4.572000000000001,4.572,,,,,,,,,,
CA-2014-134096,,,,,,,,,,,,,,399.53000000000003,399.53
CA-2014-134495,,,,,,,,269.40000000000003,,269.4,,,,,
CA-2014-134649,,,,,,,,22.63,,22.63,,,,,
CA-2014-134810,,,,,,272.23199999999997,,,,272.232,,,,,
CA-2014-135587,,,,372.64,372.64,,,,,,,,,,
CA-2014-136826,,,,,,,,,14.015999999999998,14.016,,,,,
CA-2014-137631,,,,751.98400000000004,751.984,,,,,,,,,,
CA-2014-138779,29.664000000000001,,,,29.664,,,,,,,,,,
CA-2014-138975,,,,2361.52,2361.52,,,,,,,,,,
CA-2014-139353,,,273.08800000000002,,273.088,,,,,,,,,,
CA-2014-139493,,,,15.920000000000002,15.92,,,,,,,,,,
CA-2014-139619,,,,,,,,,95.616,95.616,,,,,
CA-2014-139787,,,,,,,,,,,,,,35.4,35.4
CA-2014-139948,,,,7.9040000000000008,7.904,,,,,,,,,,
CA-2014-140088,,,301.95999999999998,,301.96,,,,,,,,,,
CA-2014-140627,,,,303.32000000000005,303.32,,,,,,,,,,
CA-2014-140872,,,,1111.6980000000001,1111.698,,,,,,,,,,
CA-2014-141446,,,,,,,,,,,,,18,,18
CA-2014-141614,,,,,,,,,20.736000000000004,20.736,,,,,
CA-2014-142090,,,,2165.6579999999999,2165.658,,,,,,,,,,
CA-2014-142671,,,,,,,,,,,,,11.520000000000001,,11.52
CA-2014-143567,,,,,,,,3291.0699999999997,,3291.07,,,,,
CA-2014-143756,701.96,,,,701.96,,,,,,,,,,
CA-2014-143861,,,,17.088000000000001,17.088,,,,,,,,,,
CA-2014-144365,,,,11.68,11.68,,,,,,,,,,
CA-2014-144456,,,,,,,,,,,220.05600000000001,,,,220.056
CA-2014-144498,,817.82900000000018,,,817.829,,,,,,,,,,
CA-2014-144694,,,253.82400000000001,,253.824,,,,,,,,,,
CA-2014-145275,,,,14.940000000000001,14.94,,,,,,,,,,
CA-2014-145310,,,7.8239999999999998,,7.824,,,,,,,,,,
CA-2014-145702,,,,,,,,342.23999999999995,,342.24,,,,,
CA-2014-145737,,,,163.96,163.96,,,,,,,,,,
CA-2014-146136,,,,24.448,24.448,,,,,,,,,,
CA-2014-146192,,,,675.06000000000006,675.06,,,,,,,,,,
CA-2014-146458,,,22.959999999999997,,22.96,,,,,,,,,,
CA-2014-146535,,,,,,,,,,,,,,1446.8400000000001,1446.84
CA-2014-146983,,,,1577.94,1577.94,,,,,,,,,,
CA-2014-147228,,,,458.98400000000004,458.984,,,,,,,,,,
CA-2014-147333,,,,,,,,,204.55,204.55,,,,,
CA-2014-147361,,,,,,,,,685.26,685.26,,,,,
CA-2014-147760,,,,,,1883.7240000000002,,,,1883.724,,,,,
CA-2014-148166,,,,,,,,,,,,,,17.856000000000002,17.856
CA-2014-148404,,,,,,,,,,,,,,1027.21,1027.21
CA-2014-148474,,,,,,,,,,,,,,544.13999999999987,544.14
CA-2014-148810,,,,,,,,,287.42400000000004,287.424,,,,,
CA-2014-148922,,,,,,,,,,,,,684.78000000000009,,684.78
CA-2014-148999,,,,419.13599999999997,419.136,,,,,,,,,,
CA-2014-149146,,,,,,,,,,,,7.9680000000000009,,,7.968
CA-2014-149853,,,,33.472000000000008,33.472,,,,,,,,,,
CA-2014-150910,,,,1090.348,1090.348,,,,,,,,,,
CA-2014-150931,,,,,,,,,,,,,,33.74,33.74
CA-2014-151211,,,,,,,,,,,,,,201.09,201.09
CA-2014-151218,4.4640000000000004,,,,4.464,,,,,,,,,,
CA-2014-151855,,,,,,,,,39.251999999999995,39.252,,,,,
CA-2014-152786,,,,40.410000000000004,40.41,,,,,,,,,,
CA-2014-152968,,,,23.08,23.08,,,,,,,,,,
CA-2014-153339,,,,,,,,15.991999999999999,,15.992,,,,,
CA-2014-153654,,,,,,,,19.008000000000003,,19.008,,,,,
CA-2014-154088,,,,26.720000000000002,26.72,,,,,,,,,,
CA-2014-154123,,,,,,,,,,,,,,27.58,27.58
CA-2014-154816,,,,,,,,,5.78,5.78,,,,,
CA-2014-155089,,,,,,,,,,,,,,45.660000000000011,45.66
CA-2014-155159,,,48.87,,48.87,,,,,,,,,,
CA-2014-155292,,,,,,,,,,,204.98000000000002,,,,204.98
CA-2014-155698,,,,,,668.54000000000008,,,,668.54,,,,,
CA-2014-155705,,,866.4,,866.4,,,,,,,,,,
CA-2014-155824,,,,,,,,,61.876000000000005,61.876,,,,,
CA-2014-156272,,,,,,,,,64.384,64.384,,,,,
CA-2014-156769,54.66,,,,54.66,,,,,,,,,,
CA-2014-157854,,,,,,,,,2747.2500000000005,2747.25,,,,,
CA-2014-157931,,,,,,,,,,,,,830.24,,830.24
CA-2014-158386,,,,124.75,124.75,,,,,,,,,,
CA-2014-158407,,,,,,,,,103.968,103.968,,,,,
CA-2014-158561,,,,,,,,1158.1199999999999,,1158.12,,,,,
CA-2014-158729,1665.62,,,,1665.62,,,,,,,,,,
CA-2014-158743,,,,199.17000000000002,199.17,,,,,,,,,,
CA-2014-158883,,25.344000000000001,,,25.344,,,,,,,,,,
CA-2014-158967,19.103999999999999,,,,19.104,,,,,,,,,,
CA-2014-159100,,,,,,,,,1893.7860000000001,1893.786,,,,,
CA-2014-159135,,,,,,,,,,,,,,4.3,4.3
CA-2014-159464,,,,,,524.85,,,,524.85,,,,,
CA-2014-159667,,,,,,,,,,,,,,691.14400000000001,691.144
CA-2014-159954,,,,2.78,2.78,,,,,,,,,,
CA-2014-160017,,,,,,,,,10.368000000000002,10.368,,,,,
CA-2014-160423,,,,,,,,,,,,,,383.99199999999996,383.992
CA-2014-160458,,,25.920000000000005,,25.92,,,,,,,,,,
CA-2014-160724,,,,,,,,,34.5,34.5,,,,,
CA-2014-160899,,,,,,,,,,,,,477.51,,477.51
CA-2014-161046,,,,,,,839.25,,,839.25,,,,,
CA-2014-161053,726.91000000000008,,,,726.91,,,,,,,,,,
CA-2014-161088,,,,,,,,,,,,,,29.84,29.84
CA-2014-161130,,,,,,,,,361.37600000000003,361.376,,,,,
CA-2014-161200,,,161.14000000000001,,161.14,,,,,,,,,,
CA-2014-161592,,,,,,,,,8.1000000000000014,8.1,,,,,
CA-2014-161851,,,,,,15.570000000000004,,,,15.57,,,,,
CA-2014-161970,,,,30.900000000000002,30.9,,,,,,,,,,
CA-2014-162033,,,,,,,,,,,,,,57.01,57.01
CA-2014-162173,,,,608.43000000000006,608.43,,,,,,,,,,
CA-2014-162635,10.816000000000001,,,,10.816,,,,,,,,,,
CA-2014-163321,,,79.992000000000004,,79.992,,,,,,,,,,
CA-2014-163335,79,,,,79,,,,,,,,,,
CA-2014-163510,,,400.39,,400.39,,,,,,,,,,
CA-2014-163629,,,,,,,,,286.08999999999997,286.09,,,,,
CA-2014-164756,,,,,,,,,997.83,997.83,,,,,
CA-2014-164917,,,,,,,,,47.96,47.96,,,,,
CA-2014-165029,,,,,,,,,12.84,12.84,,,,,
CA-2014-165204,,,728.96800000000007,,728.968,,,,,,,,,,
CA-2014-165687,,,,35.04,35.04,,,,,,,,,,
CA-2014-165715,,,,32.776000000000003,32.776,,,,,,,,,,
CA-2014-165904,,,,,,,,,,,,,,235.44000000000003,235.44
CA-2014-167871,,,,47.328000000000003,47.328,,,,,,,,,,
CA-2014-167941,,,831.36800000000017,,831.368,,,,,,,,,,
CA-2014-168102,,,,,,,,,113.56800000000001,113.568,,,,,
CA-2014-168389,,,,,,,,,873.81100000000004,873.811,,,,,
CA-2014-169005,,,,5.56,5.56,,,,,,,,,,
CA-2014-169012,,,,,,,,,41.910000000000004,41.91,,,,,
US-2011-102715,,,737.2,,737.2,,,,,,,,,,
US-2011-107405,,,,,,,,,16.272000000000002,16.272,,,,,
US-2011-109162,,,,,,,,,170.35200000000003,170.352,,,,,
US-2011-114377,,149.9,,,149.9,,,,,,,,,,
US-2011-115196,,,,1299.99,1299.99,,,,,,,,,,
US-2011-117135,,,425.66999999999996,,425.67,,,,,,,,,,
US-2011-117170,,,,52.608000000000004,52.608,,,,,,,,,,
US-2011-118997,,,,,,,,,1215.92,1215.92,,,,,
US-2011-125521,,,,,,,,,,,,,,1139.92,1139.92
US-2011-130358,23.119999999999997,,,,23.12,,,,,,,,,,
US-2011-138835,,,,,,,,,,,,,,9.64,9.64
US-2011-143581,,,,,,,,,344.90999999999997,344.91,,,,,
US-2011-147627,,,,1859.4,1859.4,,,,,,,,,,
US-2011-147774,,,,,,,,,67.194000000000003,67.194,,,,,
US-2011-150574,,,,252.61200000000002,252.612,,,,,,,,,,
US-2011-155502,,,,,,,,,,,,,,944.61,944.61
US-2011-155544,,,,310.52800000000002,310.528,,,,,,,,,,
US-2011-155817,,,,,,,,,,,,,,67.759999999999991,67.76
US-2011-156216,,,,,,,,,18.648000000000003,18.648,,,,,
US-2011-156559,,,,638.82000000000005,638.82,,,,,,,,,,
US-2011-157231,,,,,,,,,115.36,115.36,,,,,
US-2011-158057,,,,59.109000000000016,59.109,,,,,,,,,,
US-2011-164763,,,,,,,,,103.50000000000001,103.5,,,,,
US-2011-165659,,,,904.13,904.13,,,,,,,,,,
US-2011-167633,,,,15.552000000000003,15.552,,,,,,,,,,
US-2012-106495,11.672000000000001,,,,11.672,,,,,,,,,,
US-2012-108966,,,,979.94550000000004,979.9455,,,,,,,,,,
US-2012-112508,,,,,,,,,6.9920000000000009,6.992,,,,,
US-2012-113327,,,,,,,,,,,,,352.16800000000001,,352.168
US-2012-120572,,,,12.828000000000001,12.828,,,,,,,,,,
US-2012-123960,,,,207.82,207.82,,,,,,,,,,
US-2012-129553,,,,29.97,29.97,,,,,,,,,,
US-2012-130519,,,,,,,111.904,,,111.904,,,,,
US-2012-131842,,,,,,97.424000000000007,,,,97.424,,,,,
US-2012-134026,,,,1001.7600000000001,1001.76,,,,,,,,,,
US-2012-136476,,,,,,,,,157.79400000000004,157.794,,,,,
US-2012-136749,,,433.78,,433.78,,,,,,,,,,
US-2012-140851,,,,,,,,38.880000000000003,,38.88,,,,,
US-2012-145436,,,,551.26400000000001,551.264,,,,,,,,,,
US-2012-148817,,,,,,,,,125.64,125.64,,,,,
US-2012-149629,,,,,,,,231.92000000000002,,231.92,,,,,
US-2012-151435,,,85.98,,85.98,,,,,,,,,,
US-2012-158911,,,,,,,,,16.712000000000003,16.712,,,,,
US-2012-164357,,,,13.120000000000001,13.12,,,,,,,,,,
US-2012-168732,,,,129.63999999999999,129.64,,,,,,,,,,
US-2012-168935,,,,459.43350000000004,459.4335,,,,,,,,,,
US-2013-101616,,,,,,87.28,,,,87.28,,,,,
US-2013-102232,,,,,,,,,197.04999999999998,197.05,,,,,
US-2013-106600,354.90000000000003,,,,354.9,,,,,,,,,,
US-2013-108504,,,,,,,,,,,,2075.5100000000002,,,2075.51
US-2013-108637,,,,,,,,,,,,,,334.2,334.2
US-2013-109260,,,,,,,,,,,,,,431.97600000000006,431.976
US-2013-113649,645.13599999999997,,,,645.136,,,,,,,,,,
US-2013-116400,39.92,,,,39.92,,,,,,,,,,
US-2013-119298,59.98,,,,59.98,,,,,,,,,,
US-2013-120929,,,189.88200000000001,,189.882,,,,,,,,,,
US-2013-121013,,,,1678,1678,,,,,,,,,,
US-2013-123750,,,,,,,,,,,,,,895.06,895.06
US-2013-131891,2.2140000000000004,,,,2.214,,,,,,,,,,
US-2013-132857,,,,6.6719999999999988,6.672,,,,,,,,,,
US-2013-134761,,36.192,,,36.192,,,,,,,,,,
US-2013-135209,,,,,,,,,,,,,62.752000000000002,,62.752
US-2013-135923,,,,530.27199999999993,530.272,,,,,,,,,,
US-2013-137295,,,,187.22800000000001,187.228,,,,,,,,,,
US-2013-138408,,,,,,,,1319.96,,1319.96,,,,,
US-2013-139262,,,,,,,,,,,,,,471.07800000000003,471.078
US-2013-140809,,,,,,56.449999999999996,,,,56.45,,,,,
US-2013-142251,,,32.064,,32.064,,,,,,,,,,
US-2013-144393,,,,,,,,,17.616000000000003,17.616,,,,,
US-2013-146570,,,,,,,,,,,,,,612.14,612.14
US-2013-147991,,,,16.72,16.72,,,,,,,,,,
US-2013-148803,,85.224000000000004,,,85.224,,,,,,,,,,
US-2013-148901,,,,,,,,,191.018,191.018,,,,,
US-2013-150357,,,,,,,,,24.703000000000003,24.703,,,,,
US-2013-150567,,,,,,,,,29.97000000000001,29.97,,,,,
US-2013-153815,,,,,,368.43200000000002,,,,368.432,,,,,
US-2013-155404,,,,,,,,,,,,,,13.28,13.28
US-2013-156692,,89.320000000000007,,,89.32,,,,,,,,,,
US-2013-158309,,,,,,,,,,,3.7440000000000007,,,,3.744
US-2013-159415,,,,,,,,,79.12,79.12,,,,,
US-2013-161844,,,,,,,,82.919999999999987,,82.92,,,,,
US-2013-162677,187.61600000000001,,,,187.616,,,,,,,,,,
US-2013-164588,,,,12.84,12.84,,,,,,,,,,
US-2013-164630,,,,,,,,,959.96800000000007,959.968,,,,,
US-2013-167472,678.86999999999989,,,,678.87,,,,,,,,,,
US-2013-168620,,,,,,,,,,,,,823.61000000000013,,823.61
US-2013-169369,,,,299.07,299.07,,,,,,,,,,
US-2014-100930,,,,,,,,,,,,,,1735.8505000000002,1735.8505
US-2014-102904,,,,239.92,239.92,,,,,,,,,,
US-2014-105935,,,,3002.65,3002.65,,,,,,,,,,
US-2014-108063,34.650000000000006,,,,34.65,,,,,,,,,,
US-2014-108315,,,,,,,,,,,,,,225.54600000000002,225.546
US-2014-109610,,,,,,,,701.96,,701.96,,,,,
US-2014-114356,,,,,,,,,,,,,,35.96,35.96
US-2014-115252,,,,,,,,,30.336000000000006,30.336,,,,,
US-2014-117450,,,,107.55200000000002,107.552,,,,,,,,,,
US-2014-120390,,,,,,,,,,,,,,1633.1880000000003,1633.188
US-2014-120607,,195.64,,,195.64,,,,,,,,,,
US-2014-126060,,,,,,,,,198.27200000000002,198.272,,,,,
US-2014-126179,,,,311.95999999999998,311.96,,,,,,,,,,
US-2014-128118,,,,,,,,,76.521000000000015,76.521,,,,,
US-2014-128951,,,,,,1065.8400000000001,,,,1065.84,,,,,
US-2014-129224,,,,,,,,,,,,,,4.6079999999999997,4.608
US-2014-132031,,,,,,,,,,,,,,513.49600000000009,513.496
US-2014-132297,,,,,,,,,,,,,,598.31000000000006,598.31
US-2014-132675,,,,,,,,,,,,,,148.16000000000003,148.16
US-2014-133781,37.608000000000004,,,,37.608,,,,,,,,,,
US-2014-134642,,,,428.70400000000001,428.704,,,,,,,,,,
US-2014-135062,,,229.54400000000001,,229.544,,,,,,,,,,
US-2014-135503,,,,,,,,,14.76,14.76,,,,,
US-2014-135986,,,,536.36,536.36,,,,,,,,,,
US-2014-136189,,,,82.38,82.38,,,,,,,,,,
US-2014-146822,,,,49.12,49.12,,,,,,,,,,
US-2014-146878,,,,12.294,12.294,,,,,,,,,,
US-2014-148768,,,,,,,,,,,,,71.975999999999999,,71.976
US-2014-148831,348.56,,,,348.56,,,,,,,,,,
US-2014-149510,,,,98.445999999999998,98.446,,,,,,,,,,
US-2014-152492,,239.24,,,239.24,,,,,,,,,,
US-2014-152842,,,,242.35200000000003,242.352,,,,,,,,,,
US-2014-152898,,,,67.900000000000006,67.9,,,,,,,,,,
US-2014-153633,,,2.0640000000000001,,2.064,,,,,,,,,,
US-2014-156083,,,,,,,,,,,,,,9.6640000000000015,9.664
US-2014-158526,,,1814.6799999999998,,1814.68,,,,,,,,,,
US-2014-159205,,,,,,,,,,,,,732.93,,732.93
US-2014-162208,,,,,,2.8960000000000004,,,,2.896,,,,,
US-2014-162558,,,,,,,,,,,2437.672,,,,2437.672
US-2014-162670,,,,,,,,1152.8700000000001,,1152.87,,,,,
US-2014-163195,,,29.160000000000004,,29.16,,,,,,,,,,
US-2014-165953,,,,71.096000000000004,71.096,,,,,,,,,,
US-2014-166233,,,,24,24,,,,,,,,,,
US-2014-166611,,,,,,,,,68.742000000000019,68.742,,,,,
US-2014-167920,,,1827.51,,1827.51,,,,,,,,,,
US-2014-168116,,,,,,,8167.4199999999992,,,8167.42,,,,,
US-2014-168690,,,,2.8080000000000007,2.808,,,,,,,,,,
Grand Total,20802.172999999992,8132.4089999999987,49724.254500000003,116922.13449999994,195580.971,20792.607000000004,9907.3079999999991,35243.231000000007,55942.786500000009,121885.9325,7737.7859999999982,2977.4560000000001,8791.1270000000004,54748.632500000007,74255.0015
